week,lines
20100108,13244780.00
20100115,16963455.00
20100122,20311761.00
20100129,29332820.00
20100205,29530034.00
20100212,31678069.00
20100219,16847194.00
20100226,22871033.00
20100305,18381765.00
20100312,18381388.00
20100319,20189909.00
20100326,22267087.00
20100402,13827553.00
20100409,15046450.00
20100416,17452913.00
20100423,24877428.00
20100430,32124000.00
20100507,50846717.00
20100514,43593190.00
20100521,62586111.00
20100528,41407982.00
20100604,31720486.00
20100611,46319407.00
20100618,32762000.00
20100625,35292074.00
20100702,43038860.00
20100709,27549087.00
20100716,33825837.00
20100723,37750141.00
20100730,35453996.00
20100806,27840707.00
20100813,30873390.00
20100820,17236172.00
20100827,39464227.00
20100903,33265613.00
20100910,23509064.00
20100917,29267155.00
20100924,26594457.00
20101001,30936717.00
20101008,27430948.00
20101015,27826368.00
20101022,28316543.00
20101029,26819215.00
20101105,25429842.00
20101112,28141754.00
20101119,23319978.00
20101126,13200566.00
20101203,19505602.00
20101210,16198725.00
20101217,16068131.00
20101224,6901015.00
20101231,5314536.00
