week,lines
1/8/10,13244780
1/15/10,16963455
1/22/10,20311761
1/29/10,29332820
2/5/10,29530034
2/12/10,31678069
2/19/10,16847194
2/26/10,22871033
3/5/10,18381765
3/12/10,18381388
3/19/10,20189909
3/26/10,22267087
4/2/10,13827553
4/9/10,15046450
4/16/10,17452913
4/23/10,24877428
4/30/10,32124000
5/7/10,50846717
5/14/10,43593190
5/21/10,62586111
5/28/10,41407982
6/4/10,31720486
6/11/10,46319407
6/18/10,32762000
6/25/10,35292074
7/2/10,43038860
7/9/10,27549087
7/16/10,33825837
7/23/10,37750141
7/30/10,35453996
8/6/10,27840707
8/13/10,30873390
8/20/10,17236172
8/27/10,39464227
9/3/10,33265613
9/10/10,23509064
9/17/10,29267155
9/24/10,26594457
10/1/10,30936717
10/8/10,27430948
10/15/10,27826368
10/22/10,28316543
10/29/10,26819215
11/5/10,25429842
11/12/10,28141754
11/19/10,23319978
11/26/10,13200566
12/3/10,19505602
12/10/10,16198725
12/17/10,16068131
12/24/10,6901015
12/31/10,5314536
